problem,slim_version,n_iter,p_inflate,best_fit,num_correct
collatz_numbers,SLIM*SIG1,2000,0.1,46.54132080078125,0
collatz_numbers,SLIM*SIG1,2000,0.7,45.38838577270508,0
median,SLIM*SIG1,2000,0.1,28.43092155456543,0
median,SLIM*SIG1,2000,0.7,28.15964698791504,0
number_io,SLIM*SIG1,2000,0.1,32.33708953857422,0
number_io,SLIM*SIG1,2000,0.7,32.30446243286133,0
smallest,SLIM*SIG1,2000,0.1,36.328582763671875,0
smallest,SLIM*SIG1,2000,0.7,33.9970817565918,0
sum_of_squares,SLIM*SIG1,2000,0.1,10000,0
sum_of_squares,SLIM*SIG1,2000,0.7,10000,0
wallis_pi,SLIM*SIG1,2000,0.1,0.006436343304812908,1
wallis_pi,SLIM*SIG1,2000,0.7,0.005631908308714628,58
bouncing-balls,SLIM*SIG1,2000,0.1,193.06346130371094,0
bouncing-balls,SLIM*SIG1,2000,0.7,120.86012268066406,0
dice-game,SLIM*SIG1,2000,0.1,0.004021050408482552,4
dice-game,SLIM*SIG1,2000,0.7,0.005724342539906502,60
gcd,SLIM*SIG1,2000,0.1,1589.310302734375,0
gcd,SLIM*SIG1,2000,0.7,1407.4178466796875,0
snow-day,SLIM*SIG1,2000,0.1,11.073963165283203,0
snow-day,SLIM*SIG1,2000,0.7,5.707509517669678,0
