problem,slim_version,n_iter,p_inflate,best_fit,num_correct
collatz_numbers,SLIM*SIG1,5,0.5,46.817508697509766,0
median,SLIM*SIG1,5,0.5,37.60124969482422,0
number_io,SLIM*SIG1,5,0.5,3.12567203764047e-06,26
smallest,SLIM*SIG1,5,0.5,37.779415130615234,0
sum_of_squares,SLIM*SIG1,5,0.5,98676.4765625,0
wallis_pi,SLIM*SIG1,5,0.5,0.012211711145937443,7
bouncing-balls,SLIM*SIG1,5,0.5,192.94113159179688,0
dice-game,SLIM*SIG1,5,0.5,0.049506913870573044,5
gcd,SLIM*SIG1,5,0.5,1605.5460205078125,0
snow-day,SLIM*SIG1,5,0.5,17.660261154174805,0
